is_open,stars,American,Mexican,Italian,Japanese,Chinese,Thai,Mediterranean,French,Vietnamese,Greek,Indian,Korean,Hawaiian,African,Spanish,Middle Eastern,Other,age,review_count_16_19,review_normalized,pos,neg,neutral,pos_norm,neg_norm,neutral_norm,bi_goodfood_text,bi_goodloc_text,bi_bad_text,Delivery,RestaurantsPriceRange2,OutdoorSeating,HasTV,Touristy,Hipster,Romantic,Divey,Intimate,Trendy,Upscale,Classy,Casual,Alc_None_served,Alc_beer_and_wine,Alc_full_bar,open_breakfast,open_lunch,open_dinner,open_hours_meals,displayed_open_hours,is_crowded,is_chain,operation_years
1,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,207,15.92,162,26,19,12.46,2,1.46,67,49,7,0,2,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,1,1,0,0
1,4.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1121,74.73,1005,42,74,67,2.8,4.93,237,223,37,0,2,1,1,0,1,0,0,0,0,0,1,1,0,1,0,1,1,1,3,1,1,1,0
0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,3,0.38,2,1,0,0.25,0.12,0,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,3
1,3.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,37,2.64,23,8,6,1.64,0.57,0.43,15,7,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,2,1,1,0,0
1,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,18,1.38,12,5,1,0.92,0.38,0.08,2,3,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,2,1,1,0,0
0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,53,10.6,40,5,8,8,1,1.6,15,18,7,0,2,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,1,0,1
1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,16,4,4,12,0,1,3,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,3,1,1,0,0
1,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,13,1.86,9,3,1,1.29,0.43,0.14,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,3,1,0,0,0
1,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,220,55,178,19,23,44.5,4.75,5.75,33,43,6,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,2,1,1,0,0
0,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,103,51.5,53,30,20,26.5,15,10,16,10,2,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2,1,1,0,1
1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,260,28.89,133,101,26,14.78,11.22,2.89,102,64,29,1,2,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,2,1,1,0,0
1,3.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,74,5.29,47,18,9,3.36,1.29,0.64,12,14,4,1,2,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,2,1,1,0,0
1,3.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,81,5.79,57,17,7,4.07,1.21,0.5,25,20,4,1,2,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,2,1,1,0,0
0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,4,0.36,3,0,1,0.27,0,0.09,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,2,1,0,0,2
1,3.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,198,24.75,93,77,28,11.62,9.62,3.5,57,31,20,1,2,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,2,1,1,0,0
1,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,67,13.4,39,19,9,7.8,3.8,1.8,4,1,3,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,2,1,1,1,0
1,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,62,12.4,20,31,11,4,6.2,2.2,10,3,3,1,2,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,2,1,0,1,0
1,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,101,14.43,56,36,9,8,5.14,1.29,6,6,7,1,2,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,2,1,1,1,0
1,4.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,518,129.5,455,30,33,113.75,7.5,8.25,77,33,17,1,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,1,0,0
1,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,181,22.62,166,3,12,20.75,0.38,1.5,22,9,4,0,2,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,2,1,1,0,0
1,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,43,5.38,31,8,4,3.88,1,0.5,4,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,2,1,1,0,0
0,3.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,12,3,7,5,0,1.75,1.25,0,2,0,2,0,2,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,2,1,1,0,2
1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,183,14.08,57,105,21,4.38,8.08,1.62,31,13,30,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,2,1,1,0,0
1,3.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,9,0.82,8,1,0,0.73,0.09,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,2,1,1,0,0
1,4.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,92,23,85,5,2,21.25,1.25,0.5,21,7,3,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,0,0
1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,212,19.27,142,46,24,12.91,4.18,2.18,61,31,24,1,2,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,2,1,1,1,0
1,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,113,11.3,68,38,7,6.8,3.8,0.7,28,24,11,0,2,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,2,1,1,1,0
1,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,262,37.43,211,25,26,30.14,3.57,3.71,70,33,18,0,2,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,2,1,1,1,0
1,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,107,26.75,71,18,18,17.75,4.5,4.5,41,18,13,1,2,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,2,1,1,1,0
1,2.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,91,9.1,19,63,9,1.9,6.3,0.9,8,9,8,1,2,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,2,1,1,1,0
1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,96,9.6,11,75,10,1.1,7.5,1,12,12,16,1,2,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,2,1,1,1,0
1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,107,9.73,22,76,9,2,6.91,0.82,8,11,19,1,2,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,2,1,1,1,0
1,2.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,85,9.44,20,49,16,2.22,5.44,1.78,18,1,6,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,2,1,1,0,0
